,field_1,LEGALLAND,Mer,TP,RG,Qrtsec,Section,Qrt,Series,Slope,OM,Name,Name_2,Name_3,Name_4,easting,northing,b1,b2,b3,b4,b5,b6,b7,ari,ari_noBareSoil,CRSI,CRSI_noBareSoil,NDVI_July_Aug,NDVI_July_Aug_noBareSoil,NDVI_Sept_Oct,NDVI_Sept_Oct_noBareSoil,NDVI_SD,SAVI_Jul_Aug,SAVI_Jul_Aug_noBareSoil,SAVI_Sept_Oct,SAVI_Sept_Oct_noBareSoil,dem_3x3_sd3x3,dem_3x3_sd5x5,dem_3x3_sd9x9,dem_3x3_sd21x21,dem_9x9_sd21x21,dem_9x9_sd101x101,dem_3x3_tri,dem_5x5_tri,dem_9x9_tri,dem_9x9_tri_20,precip,temperature,MidSlope_Pos_100m,Norm_Height_100m,Slope_Height_100m,Stand_Height_100m,SWI_100m,Valley_Depth_100m,precip_spring,precip_summer,temperature_high,MODIS_NDVI_May_Oct,MODIS_NDVI_May,MODIS_NDVI_June,MODIS_NDVI_July,MODIS_NDVI_Aug,MODIS_NDVI_Sept,MODIS_NDVI_Oct,MODIS_NDVI_SD,MODIS_NDVI_Max_Min,MODIS_NDVI_Max_Month
0,1,NE-01-03-06-3,W3,3,6,NE01,1,NE,CYA,,4.8,CYPRESS ORTHIC DARK BROWN,,,,377214.8916,5449431.93,,,,,,,,1.0047342,1.1982571,0.7552938,0.7759071,0.3721097,0.4255703,0.2581728,0.36392397,0.105135168487342,0.557305144704603,0.642201699725535,0.385984593826152,0.542218822489674,1.3164237,2.2955365,4.8441715,7.4588876,6.1447606,27.020075,4.0524244,3.7925937,3.1933234,5.094169,467.92627,289.1832,0.34498474,0.6724924,4.6464286,855.3513,7.907512,2.2492695,148.560790832159,251.036176960823,21.536585,0.45941895,0.37710056,0.5883393,0.5947779,0.4892658,0.39960122,0.29041636,0.30436152,0.22808737,7
1,2,NE-01-15-17-3,W3,15,17,NE01,1,NE,HTD,M,3.5,HATTON REGO BROWN,,,,271060.6805,5569536.622,,,,,,,,1.0745853,1.1071955,0.76578426,0.7686845,0.44866794,0.4607246,0.27788764,0.37347382,0.11160575009805,0.669417109359801,0.682875216594242,0.416759531818755,0.567460754256748,1.0555158,1.7879878,3.2492812,6.2286077,5.92379,13.051762,2.7711112,2.6042993,2.3181865,4.1707897,452.07632,288.9123,0.46165606,0.26917195,1.498453,608.18976,7.9313707,4.084086,139.593381579436,242.369382825275,17.853659,0.44518,0.3298066,0.54433167,0.5716573,0.48585767,0.40381983,0.29022017,0.28143713,0.20474547,7
2,3,NE-01-15-17-3,W3,15,17,NE01,1,NE,APD,M,3.5,ANTELOPE ORTHIC HUMIC,,REGOS,,271060.6805,5569536.622,,,,,,,,1.0745853,1.1071955,0.76578426,0.7686845,0.44866794,0.4607246,0.27788764,0.37347382,0.11160575009805,0.669417109359801,0.682875216594242,0.416759531818755,0.567460754256748,1.0555158,1.7879878,3.2492812,6.2286077,5.92379,13.051762,2.7711112,2.6042993,2.3181865,4.1707897,452.07632,288.9123,0.46165606,0.26917195,1.498453,608.18976,7.9313707,4.084086,139.593381579436,242.369382825275,17.853659,0.44518,0.3298066,0.54433167,0.5716573,0.48585767,0.40381983,0.29022017,0.28143713,0.20474547,7
3,4,NE-01-15-17-3,W3,15,17,NE01,1,NE,APD,M,2.5,ANTELOPE ORTHIC HUMIC,,REGOS,,271060.6805,5569536.622,,,,,,,,1.0745853,1.1071955,0.76578426,0.7686845,0.44866794,0.4607246,0.27788764,0.37347382,0.11160575009805,0.669417109359801,0.682875216594242,0.416759531818755,0.567460754256748,1.0555158,1.7879878,3.2492812,6.2286077,5.92379,13.051762,2.7711112,2.6042993,2.3181865,4.1707897,452.07632,288.9123,0.46165606,0.26917195,1.498453,608.18976,7.9313707,4.084086,139.593381579436,242.369382825275,17.853659,0.44518,0.3298066,0.54433167,0.5716573,0.48585767,0.40381983,0.29022017,0.28143713,0.20474547,7
4,5,NE-01-29-18-3,W3,29,18,NE01,1,NE,ADA,L,2.6,ARDILL ORTHIC BROWN,,,,263768.6863,5706072.308,876.0909,1244.1818,1491.5714,2101.6667,3001.1428,3016.8086,2550.3,0.95629835,1.574964,0.7484584,0.8069984,0.2478933,0.49189532,0.17051995,0.38184074,0.142012983156535,0.371794091954934,0.721042689259807,0.255102638068099,0.55979831291242,1.1042362,1.6898024,2.3876321,5.841103,4.965721,8.269312,2.3790863,2.0377815,1.4999883,3.5106218,433.27942,288.36145,0.43864122,0.28116325,2.384006,580.72943,8.67774,6.420281,126.343378548024,240.608855242161,11.512196,0.3298938,0.23348054,0.38874495,0.6264939,0.40100628,0.3107035,0.26024303,0.39301333,0.22883503,7
5,6,NE-01-29-18-3,W3,29,18,NE01,1,NE,ADA,M,3,ARDILL ORTHIC BROWN,,,,263768.6863,5706072.308,876.0909,1244.1818,1491.5714,2101.6667,3001.1428,3016.8086,2550.3,0.95629835,1.574964,0.7484584,0.8069984,0.2478933,0.49189532,0.17051995,0.38184074,0.142012983156535,0.371794091954934,0.721042689259807,0.255102638068099,0.55979831291242,1.1042362,1.6898024,2.3876321,5.841103,4.965721,8.269312,2.3790863,2.0377815,1.4999883,3.5106218,433.27942,288.36145,0.43864122,0.28116325,2.384006,580.72943,8.67774,6.420281,126.343378548024,240.608855242161,11.512196,0.3298938,0.23348054,0.38874495,0.6264939,0.40100628,0.3107035,0.26024303,0.39301333,0.22883503,7
6,7,NE-01-29-18-3,W3,29,18,NE01,1,NE,ADD,U,2.6,ARDILL REGO BROWN,,,,263768.6863,5706072.308,876.0909,1244.1818,1491.5714,2101.6667,3001.1428,3016.8086,2550.3,0.95629835,1.574964,0.7484584,0.8069984,0.2478933,0.49189532,0.17051995,0.38184074,0.142012983156535,0.371794091954934,0.721042689259807,0.255102638068099,0.55979831291242,1.1042362,1.6898024,2.3876321,5.841103,4.965721,8.269312,2.3790863,2.0377815,1.4999883,3.5106218,433.27942,288.36145,0.43864122,0.28116325,2.384006,580.72943,8.67774,6.420281,126.343378548024,240.608855242161,11.512196,0.3298938,0.23348054,0.38874495,0.6264939,0.40100628,0.3107035,0.26024303,0.39301333,0.22883503,7
7,8,NE-01-30-07-3,W3,30,7,NE01,1,NE,AVZ,,4,,,,,371474.8292,5711925.144,797,1133.3334,1324.6666,2045.125,3163.8333,3016.775,2821.3333,0.9891262,1.4034581,0.758191,0.79709935,0.34911507,0.54071623,0.20361742,0.3628542,0.138811475237592,0.521973199325339,0.724950884086444,0.305667348235965,0.534163115496242,0.2524401,0.34583357,0.407068,0.6248405,0.47681436,1.691385,0.38095674,0.24699917,0.17748529,0.37976447,458.69995,288.80823,0.030291878,0.48485404,1.9916452,504.33023,9.83305,2.1160758,129.674194225456,251.382892913767,12.414634,0.467351,0.3841949,0.5481373,0.6089364,0.51369125,0.42824697,0.3530618,0.25587463,0.23282067,7
8,9,NE-01-38-20-2,W2,38,20,NE01,1,NE,OXC,U,6.8,OXBOW CALCAREOUS,BLACK,,,518652.9974,5788023.409,628.2143,845,995.25,1542.6364,2824.55,3000.1785,2587.125,1.9279546,2.4445984,0.81775707,0.8384198,0.533911,0.60236984,0.19838169,0.42601702,0.199699810820696,0.799469216253697,0.920269241556857,0.298408915309143,0.586707710233751,0.060821872,0.25859857,0.42896542,0.62163866,0.23706762,2.8439355,0.34245905,0.111613855,,0.107902646,525.6083,288.21375,0.12304657,0.4384767,2.878141,530.84766,10.664393,3.685813,141.389193772789,290.222285303501,4.804878,0.3341171,0.21702448,0.37904882,0.7364378,0.6004499,0.2984768,0.24022746,0.51941335,0.27221164,7
9,10,NE-01-38-20-2,W2,38,20,NE01,1,NE,OXA,C,6.3,OXBOW ORTHIC BLACK,,,,518652.9974,5788023.409,628.2143,845,995.25,1542.6364,2824.55,3000.1785,2587.125,1.9279546,2.4445984,0.81775707,0.8384198,0.533911,0.60236984,0.19838169,0.42601702,0.199699810820696,0.799469216253697,0.920269241556857,0.298408915309143,0.586707710233751,0.060821872,0.25859857,0.42896542,0.62163866,0.23706762,2.8439355,0.34245905,0.111613855,,0.107902646,525.6083,288.21375,0.12304657,0.4384767,2.878141,530.84766,10.664393,3.685813,141.389193772789,290.222285303501,4.804878,0.3341171,0.21702448,0.37904882,0.7364378,0.6004499,0.2984768,0.24022746,0.51941335,0.27221164,7
